timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
276736.0,0.81,-0.41,0.08,7.51,1.83,105.53
276746.0,0.93,-0.46,0.09,6.77,3.72,103.52
276756.0,0.91,-0.48,0.03,5.62,3.48,104.13
276766.0,0.83,-0.44,0.08,10.01,3.6,102.48
276776.0,0.95,-0.49,0.12,7.93,1.71,104.19
276786.0,0.83,-0.5,0.06,10.31,1.77,101.44
276796.0,0.77,-0.47,0.11,11.41,2.44,104.06
276806.0,0.81,-0.56,0.07,7.39,1.71,104.68
276816.0,0.79,-0.59,0.17,5.31,3.11,104.92
276826.0,0.78,-0.58,0.02,6.53,1.95,107.42
276836.0,0.84,-0.54,0.03,11.66,2.44,103.7
276846.0,0.75,-0.56,0.08,7.39,1.71,104.68
276856.0,0.83,-0.61,0.05,6.1,1.95,104.74
276866.0,0.74,-0.58,0.11,6.59,2.81,106.26
276876.0,0.77,-0.64,0.09,8.06,1.95,105.47
276886.0,0.75,-0.68,0.09,2.44,1.77,107.67
276896.0,0.7,-0.55,0.06,7.02,1.4,104.86
276906.0,0.69,-0.66,0.11,1.65,1.71,109.74
276916.0,0.73,-0.73,0.01,5.07,2.93,106.14
276926.0,0.69,-0.6,0.04,10.5,3.3,104.98
276936.0,0.69,-0.72,0.13,3.17,1.89,109.74
276946.0,0.67,-0.93,0.06,4.94,1.95,110.29
276956.0,0.61,-0.62,0.06,6.96,2.32,108.83
276966.0,0.66,-0.77,0.03,5.8,1.22,109.99
276976.0,0.68,-0.76,0.08,8.48,2.69,108.28
276986.0,0.61,-0.8,0.07,7.51,2.75,108.83
276996.0,0.58,-0.9,0.04,3.97,2.5,112.0
277006.0,0.59,-0.76,0.1,7.02,2.87,107.48
277016.0,0.65,-0.72,-0.0,9.52,1.28,107.18
277026.0,0.57,-0.79,-0.0,7.02,2.62,108.58
277036.0,0.52,-0.93,0.05,6.41,1.4,110.9
277046.0,0.46,-0.77,0.07,8.48,0.55,109.31
277056.0,0.53,-0.98,0.12,6.71,1.34,108.03
277066.0,0.53,-0.8,0.09,6.53,2.87,111.69
277076.0,0.47,-0.89,0.07,5.74,2.08,111.39
277086.0,0.48,-0.82,0.08,7.87,1.59,111.51
277096.0,0.53,-0.94,0.12,6.29,2.14,112.06
277106.0,0.38,-0.88,0.12,6.47,3.54,112.18
277116.0,0.4,-0.91,0.07,5.49,2.44,111.76
277126.0,0.37,-0.96,0.11,5.98,2.26,111.76
277136.0,0.41,-0.93,0.07,4.7,2.26,113.95
277146.0,0.36,-1.02,0.04,4.7,3.05,113.04
277156.0,0.37,-0.89,0.03,5.92,3.6,113.1
277166.0,0.26,-0.99,0.08,7.63,1.95,112.0
277176.0,0.31,-0.96,0.04,6.1,3.17,114.5
277186.0,0.21,-1.0,0.01,5.37,5.43,112.06
277196.0,0.19,-1.03,0.06,6.41,4.15,112.73
277206.0,0.26,-0.97,0.01,7.57,2.93,109.74
277216.0,0.27,-0.89,0.09,7.26,3.6,113.04
277226.0,0.15,-0.98,0.06,5.49,4.64,111.57
277236.0,0.17,-1.03,0.05,5.86,3.91,113.59
277246.0,0.2,-0.99,0.09,8.73,3.3,110.05
277256.0,0.15,-0.98,0.05,7.39,4.82,110.05
277266.0,0.06,-1.01,-0.01,7.14,5.0,111.39
277276.0,0.04,-0.94,0.11,7.63,5.0,111.88
277286.0,0.15,-1.1,0.12,6.65,2.26,110.29
277296.0,0.05,-1.1,0.07,7.08,2.5,112.61
277306.0,-0.01,-0.96,0.02,6.29,2.75,112.18
277316.0,0.0,-1.05,0.08,7.39,1.16,112.12
277326.0,0.01,-0.92,0.08,9.03,1.4,112.37
277336.0,-0.11,-1.08,0.06,5.19,2.93,114.56
277346.0,-0.09,-1.0,0.08,8.48,3.17,109.8
277356.0,-0.06,-0.91,0.06,7.81,3.3,111.88
277366.0,-0.12,-1.05,0.05,5.19,3.11,112.0
277376.0,-0.17,-1.0,0.08,7.69,2.81,109.74
277386.0,-0.11,-0.92,0.11,7.26,2.2,111.57
277396.0,-0.16,-1.02,0.05,6.1,0.73,110.72
277406.0,-0.16,-0.88,0.02,7.51,3.36,112.24
277416.0,-0.12,-0.94,0.04,5.86,3.54,111.57
277426.0,-0.22,-0.97,0.12,4.94,2.14,113.53
277436.0,-0.28,-0.99,0.08,6.23,2.56,110.53
277446.0,-0.23,-0.89,0.07,8.42,3.42,110.66
277456.0,-0.28,-0.99,0.03,7.93,2.99,111.27
277466.0,-0.29,-0.94,0.08,6.84,0.67,110.17
277476.0,-0.26,-0.94,0.1,7.02,-0.06,111.02
277486.0,-0.35,-0.98,0.01,7.02,0.24,111.94
277496.0,-0.38,-1.09,0.05,5.0,1.71,112.37
277506.0,-0.35,-0.87,0.04,7.81,0.0,111.51
277516.0,-0.36,-0.9,0.13,3.17,-0.37,113.1
277526.0,-0.39,-1.01,0.15,3.97,4.15,114.32
277536.0,-0.43,-0.86,0.11,4.39,5.55,112.12
277546.0,-0.47,-0.85,0.12,5.49,4.46,113.83
277556.0,-0.35,-0.95,0.12,3.42,4.64,111.94
277566.0,-0.4,-0.89,0.03,4.94,5.49,113.83
277576.0,-0.53,-0.94,0.02,3.3,4.94,114.32
277586.0,-0.52,-0.85,0.06,4.27,2.69,116.76
277596.0,-0.57,-0.91,0.05,0.92,4.15,115.66
277606.0,-0.49,-0.83,-0.02,8.3,5.0,113.77
277616.0,-0.54,-0.8,0.04,6.84,4.7,115.05
277626.0,-0.57,-0.84,0.0,2.14,3.97,118.23
277636.0,-0.54,-0.87,0.04,5.49,2.5,114.75
277646.0,-0.56,-0.76,0.04,10.01,2.44,115.36
277656.0,-0.63,-0.82,0.04,1.34,1.16,117.31
277666.0,-0.64,-0.83,0.06,5.31,0.49,115.66
277676.0,-0.6,-0.73,0.06,5.43,2.14,115.3
277686.0,-0.62,-0.72,0.09,3.91,2.01,116.82
277696.0,-0.6,-0.77,0.01,1.53,2.2,116.88
277706.0,-0.72,-0.78,0.1,1.04,4.39,120.91
277716.0,-0.72,-0.77,0.08,8.61,4.94,116.7
277726.0,-0.71,-0.66,0.06,8.06,4.21,118.59
277736.0,-0.73,-0.74,0.07,3.97,3.72,119.51
277746.0,-0.75,-0.64,0.02,10.56,3.66,119.14
